,,REL_ERROR_ARGMAX,REL_ERROR_MAX_TEST_CASE,REL_ERROR_MAX,REL_ERROR_MED,REL_ERROR_MEAN,REL_ERROR_MIN,REL_ERROR_STD,REL_ERROR_IQR,ABS_ERROR_ARGMAX,ABS_ERROR_MAX_TEST_CASE,ABS_ERROR_MAX,ABS_ERROR_MED,ABS_ERROR_MEAN,ABS_ERROR_MIN,ABS_ERROR_STD,ABS_ERROR_IQR
mad_10,add,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_10,sub,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=1.0, y_est=1.0']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_10,mul,"[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0, 0]","['x=(nan, nan), y_true=nan, y_est=nan', 'x=(nan, nan), y_true=nan, y_est=nan']","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
mad_10,div,"[947889, 860687]","['x=(1.6645632982254028, -5.324043273925781), y_true=-0.31265023350715637, y_est=-0.3126501739025116', 'x=(-7.5602521896362305, 0.9667932987213135), y_true=1.0343472957611084, y_est=1.0343471765518188']","[1.906432e-05, 4.6896475e-05]","[0.0, 0.0]","[3.3266183e-06, 8.4874755e-06]","[3.3266183e-06, 8.4874755e-06]","[4.249016e-06, 1.0347297e-05]","[7.37854691e-06, 1.65049782e-05]","[710837, 710837]","['x=(9.813348770141602, -9.292166396335233e-06), y_true=-1056088.375, y_est=-1056088.25', 'x=(9.813348770141602, -9.292166396335233e-06), y_true=-107617.53125, y_est=-107617.5234375']","[0.125, 16384.008]","[0.0, 0.0]","[3.523681e-07, 0.017831737]","[3.523681e-07, 0.017831737]","[0.00012636257, 16.392954]","[5.96046448e-08, 2.98023224e-08]"
mad_10,sin,"[73806, 329699]","['x=(-6.030492782592773, 5.792334079742432), y_true=0.2500118613243103, y_est=0.2500118911266327', 'x=(4.965071201324463, -4.616533279418945), y_true=0.2500018775463104, y_est=0.2500019073486328']","[1.1920363e-05, 1.192084e-05]","[0.0, 0.0]","[4.3461202e-07, 4.345911e-07]","[4.3461202e-07, 4.345911e-07]","[1.8207664e-06, 1.8122346e-06]","[0.0, 0.0]","[35, 56]","['x=(-1.0, nan), y_true=-0.8414710164070129, y_est=-0.8414709568023682', 'x=(7.032503604888916, -2.869536876678467), y_true=0.7321533560752869, y_est=0.7321534156799316']","[5.9604645e-08, 5.9604645e-08]","[0.0, 0.0]","[2.9092926e-09, 2.9902476e-09]","[2.9092926e-09, 2.9902476e-09]","[1.2481619e-08, 1.2704827e-08]","[0.0, 0.0]"
mad_10,cos,"[329699, 73806]","['x=(4.965071201324463, -4.616533279418945), y_true=0.2500018775463104, y_est=0.2500019073486328', 'x=(-6.030492782592773, 5.792334079742432), y_true=-0.2500118613243103, y_est=-0.2500118911266327']","[1.192084e-05, 1.1920363e-05]","[0.0, 0.0]","[4.345911e-07, 4.3461202e-07]","[4.345911e-07, 4.3461202e-07]","[1.8122346e-06, 1.8207664e-06]","[0.0, 0.0]","[56, 35]","['x=(7.032503604888916, -2.869536876678467), y_true=0.7321533560752869, y_est=0.7321534156799316', 'x=(-1.0, nan), y_true=0.8414710164070129, y_est=0.8414709568023682']","[5.9604645e-08, 5.9604645e-08]","[0.0, 0.0]","[2.9902476e-09, 2.9092926e-09]","[2.9902476e-09, 2.9092926e-09]","[1.2704827e-08, 1.2481619e-08]","[0.0, 0.0]"
mad_10,exp,"[670684, 670684]","['x=(9.761972427368164, -7.264965534210205), y_true=17360.841796875, y_est=17360.83203125', 'x=(9.761972427368164, -7.264965534210205), y_true=17360.841796875, y_est=17360.83203125']","[5.6250872e-05, 5.6250872e-05]","[9.279279e-06, 9.279279e-06]","[1.1791329e-05, 1.1791329e-05]","[1.1791329e-05, 1.1791329e-05]","[1.1291426e-05, 1.1291426e-05]","[1.82580511e-05, 1.82580511e-05]","[175900, 175900]","['x=(9.995677947998047, 1.9844133853912354), y_true=21931.47265625, y_est=21931.4609375', 'x=(9.995677947998047, 1.9844133853912354), y_true=21931.47265625, y_est=21931.4609375']","[0.01171875, 0.01171875]","[9.313226e-10, 9.313226e-10]","[0.00020268123, 0.00020268123]","[0.00020268123, 0.00020268123]","[0.0007722956, 0.0007722956]","[7.62939453e-06, 7.62939453e-06]"
mad_10,log,"[422930, 757464]","['x=(0.9999972581863403, 5.118592739105225), y_true=-2.7418175250204513e-06, y_est=-2.1457672119140625e-06', 'x=(5.823798179626465, -5.36778450012207), y_true=0.17170925438404083, y_est=0.17170922458171844']","[21.73924, 1.735627e-05]","[0.0, 0.0]","[0.00016621525, 3.461922e-06]","[0.00016621525, 3.461922e-06]","[0.02573585, 4.218462e-06]","[0.000110362493, 7.25299117e-06]","[466145, 674441]","['x=(0.0022603590041399, 7.285396575927734), y_true=-6.092231750488281, y_est=-6.092226982116699', 'x=(3.4306106044823537e-06, 0.7780459523200989), y_true=291493.3125, y_est=291493.28125']","[4.7683716e-06, 0.03125]","[0.0, 0.0]","[8.7623164e-07, 7.952618e-08]","[8.7623164e-07, 7.952618e-08]","[1.2619965e-06, 3.166455e-05]","[1.49011612e-06, 1.49011612e-08]"
mad_10,sqrt,"[465497, 968415]","['x=(2.572356939315796, -7.141640663146973), y_true=1.6038569211959839, y_est=1.6038492918014526', 'x=(3.5523877143859863, -4.704476356506348), y_true=0.2652832567691803, y_est=0.26528024673461914']","[0.00047569047, 0.0011346493]","[0.0, 0.0]","[9.2029295e-05, 0.00011423127]","[9.2029295e-05, 0.00011423127]","[0.00014131222, 0.00018306277]","[0.000158415725, 0.000192782609]","[2706, 674441]","['x=(9.972638130187988, 0.5774162411689758), y_true=3.1579484939575195, y_est=3.1579341888427734', 'x=(3.4306106044823537e-06, 0.7780459523200989), y_true=269.9505920410156, y_est=269.94775390625']","[1.4305115e-05, 0.0028381348]","[0.0, 0.0]","[1.9724052e-06, 3.8742377e-07]","[1.9724052e-06, 3.8742377e-07]","[3.262429e-06, 3.1602167e-06]","[2.86102295e-06, 4.02331352e-07]"
mad_10,tanh,"[674441, 58]","['x=(3.4306106044823537e-06, 0.7780459523200989), y_true=3.4306106044823537e-06, y_est=-0.008981585502624512', 'x=(-9.670647621154785, 4.051504611968994), y_true=1.1920928955078125e-07, y_est=0.0']","[261907.2, 100.0]","[0.00014306008, 2.245389]","[1.2800852, 16.469387]","[1.2800852, 16.469387]","[273.54794, 33.53793]","[0.0196447084, 2.78168947]","[176893, 490691]","['x=(-0.17795702815055847, 0.21942315995693207), y_true=-0.17610196769237518, y_est=-0.15911376476287842', 'x=(0.5180656313896179, 7.562769889831543), y_true=0.773228108882904, y_est=0.7603006362915039']","[0.016988203, 0.012927473]","[1.4305115e-06, 2.861023e-06]","[0.0010339085, 0.0010358234]","[0.0010339085, 0.0010358234]","[0.0028358551, 0.0024873305]","[0.000194251537, 0.000361740589]"
